origin,taz
1,21010510
2,21010520
3,21010530
4,21010540
5,21010560
6,21010570
7,21010580
8,21010590
9,21010600
10,21020510
11,21020520
12,21020530
13,21020540
14,21020560
15,21020570
16,21020590
17,21020610
18,21020630
19,21020640
20,21020650
21,21020690
22,21020680
23,21030510
24,21030520
25,21030530
26,21030550
27,21030560
28,21030570
29,21030590
30,21030600
31,21030700
32,21030710
33,21030660
34,21030680
35,21040530
36,21040540
37,21040550
38,21040680
39,21040590
40,21040690
41,21040630
42,21040640
43,21040650
44,21040660
45,21040670
46,21050820
47,21050520
48,21050540
49,21050550
50,21050560
51,21050570
52,21050830
53,21050610
54,21050640
55,21050660
56,21050800
57,21050680
58,21050700
59,21050810
60,21050720
61,21050740
62,21050750
63,21050760
64,21050770
65,21050840
66,21060510
67,21060520
68,21060650
69,21060550
70,21060560
71,21060570
72,21060580
73,21060590
74,21060600
75,21060610
76,21060620
77,21060630
78,21060640
79,21070700
80,21070530
81,21070540
82,21070550
83,21070560
84,21070570
85,21070580
86,21070590
87,21070600
88,21070610
89,21070620
90,21070630
91,21070710
92,21070660
93,21070670
94,21070680
95,21070690
96,21080510
97,21080520
98,21080530
99,21080540
100,21080550
101,21080620
102,21080630
103,21080560
104,21080570
105,21080580
106,21080590
107,21080600
108,21080610
109,21090730
110,21090740
111,21090750
112,21090530
113,21090540
114,21090660
115,21090670
116,21090680
117,21090690
118,21090560
119,21090700
120,21090580
121,21090590
122,21090710
123,21090720
124,21090620
125,21090640
126,21090650
127,21100510
128,21100520
129,21100530
130,21100540
131,21100550
132,21100560
133,21100570
134,21100580
135,21100590
136,21100600
137,21100610
138,21100620
139,21100630
140,21100640
141,21100650
142,21100660
143,21110510
144,21110520
145,21110720
146,21110730
147,21110570
148,21110580
149,21110590
150,21110600
151,21110610
152,21110740
153,21110640
154,21110670
155,21110680
156,21110690
157,21110700
158,21110710
159,21120510
160,21120520
161,21120530
162,21120590
163,21120600
164,21120550
165,21120560
166,21120580
167,21130510
168,21130520
169,21130530
170,21130540
171,21130550
172,21130560
173,21130570
174,21130580
175,21130590
176,21130600
177,21130620
178,21130630
179,21140510
180,21140520
181,21140530
182,21140540
183,21140550
184,21140560
185,21140570
186,21140580
187,21140590
188,21140600
189,21150510
190,21150520
191,21150540
192,21150550
193,21150560
194,21150570
195,21150650
196,21150600
197,21150610
198,21150620
199,21150630
200,21150640
201,21510110
202,21510120
203,21510130
204,21510111
205,21510330
206,26010510
207,26010520
208,26010530
209,26010540
210,26010550
211,26010670
212,26010590
213,26010600
214,26010610
215,26010620
216,26010630
217,26010640
218,26010660
219,26020510
220,26020520
221,26020530
222,26020540
223,26020550
224,26020560
225,26020570
226,26020580
227,26020590
228,26020600
229,26020620
230,26020630
231,26020640
232,26020610
233,26030510
234,26030520
235,26030530
236,26030540
237,26030550
238,26030610
239,26030580
240,26030590
241,26030600
242,26040510
243,26040520
244,26040530
245,26040540
246,26040560
247,26040570
248,26040580
249,26040590
250,26510110
251,26510120
252,26510130
253,26510140
254,26510150
255,26510160
256,26510310
257,26510340
258,26510360
259,26510370
260,26510380
261,26510400
262,262
263,263
264,264
265,265
266,266
267,267
268,268
269,269
270,270
271,271
272,272
273,273
274,274
275,275
276,276
277,277
278,278
279,279
280,280
281,281
282,282
283,283
284,284
285,285
286,286
287,287
288,288
289,289
290,290
291,291
292,292
293,293
294,294
295,295
296,296
297,297
298,298
299,299
300,300
301,301
302,302
303,303
304,304
305,305
306,306
307,307
308,308
309,309
310,310
311,311
312,312
313,313
314,314
315,315
316,316
317,317
318,318
319,319
320,320
321,321
322,322
323,323
324,324
325,325
326,326
327,327
328,328
329,329
330,330
331,331
332,332
333,333
334,334
335,335
336,336
337,337
338,338
339,339
340,340
341,341
342,342
343,343
344,344
345,345
346,346
347,347
348,348
349,349
350,350
351,351
352,352
353,353
354,354
355,355
356,356
357,357
358,358
359,359
360,360
361,361
362,362
363,363
364,364
365,365
366,366
367,367
368,368
369,369
370,370
371,371
372,372
373,373
374,374
375,375
376,376
377,377
378,378
379,379
380,380
381,381
382,382
383,383
384,384
385,385
386,386
387,387
388,388
389,389
390,390
391,391
392,392
393,393
394,394
395,395
396,396
397,397
398,398
399,399
400,400
401,401
402,402
403,403
404,404
405,405
406,406
407,407
408,408
409,409
410,410
411,411
412,412
413,413
414,414
415,415
416,416
417,417
418,418
419,419
420,420
421,421
422,422
423,423
424,424
425,425
426,426
427,427
428,428
429,429
430,430
431,431
432,432
433,433
434,434
435,435
436,436
437,437
438,438
439,439
440,440
441,441
442,442
443,443
444,444
445,445
446,446
447,447
448,448
449,449
450,450
451,451
452,452
453,453
454,454
455,455
456,456
457,457
458,458
459,459
460,460
461,461
462,462
463,463
464,464
465,465
466,466
467,467
468,468
469,469
470,470
471,471
472,472
473,473
474,474
475,475
476,476
477,477
478,478
479,479
480,480
481,481
482,482
483,483
484,484
485,485
486,486
487,487
488,488
489,489
490,490
491,491
492,492
493,493
494,494
495,495
496,496
497,497
498,498
499,499
500,500
501,501
502,502
503,503
504,504
505,505
506,506
507,507
508,508
509,509
510,510
511,511
512,512
513,513
514,514
515,515
516,516
517,517
518,518
519,519
520,520
521,521
522,522
523,523
524,524
525,525
526,526
527,527
528,528
529,529
530,530
531,531
532,532
533,533
534,534
535,535
536,536
537,537
538,538
539,539
540,540
541,541
542,542
543,543
544,544
545,545
546,546
547,547
548,548
549,549
550,550
551,551
552,552
553,553
554,554
555,555
556,556
557,557
558,558
559,559
560,560
561,561
562,562
563,563
564,564
565,565
566,566
567,567
568,568
569,569
570,570
571,571
572,572
573,573
574,574
575,575
576,576
577,577
578,578
579,579
580,580
581,581
582,582
583,583
584,584
585,585
586,586
587,587
588,588
589,589
590,590
591,591
592,592
593,593
594,594
595,595
596,596
597,597
598,598
599,599
600,600
601,601
602,602
603,603
604,604
605,605
606,606
607,607
608,608
609,609
610,610
611,611
612,612
613,613
614,614
615,615
616,616
617,617
618,618
619,619
620,620
621,621
622,622
623,623
624,624
625,625
626,626
627,627
628,628
629,629
630,630
631,631
632,632
633,633
634,634
